subject_code,subject_name,missing_schemes,possible_abbrs,suggested_abbr
22617,MOBILE APPLICATION DEVELOPMENT,"AN6I, BD6I, CM6I, CO6I, CW6I, HA6I, IF6I","MAD-TH (AN-6-I, BD-6-I, CM-6-I, CO-6-I, CW-6-I, HA-6-I, IF-6-I)",MAD-TH
22619,WEB BASED APPLICATION DEVELOPMENT USING PHP,"CM6I, CO6I, CW6I, HA6I, IF6I","WBP-TH (CM-6-I, CO-6-I, CW-6-I, HA-6-I, IF-6-I)",WBP-TH
22625,MAINTENANCE OF ELECTRIC EQUIPMENT,"EE6E, EE6G, EE6I, EP6I","MEE-TH (EE-6-C, EE-6-E, EE-6-G, EE-6-I, EP-6-I)",MEE-TH
22626,UTILIZATION OF ELECTRICAL ENERGY,"EE6I, EP6I","UEE-TH (EE-6-I, EP-6-I)",UEE-TH
22627,ELECTRICAL ESTIMATION AND CONTRACTING,"EE6I, EP6I","EEC-TH (EE-6-I, EP-6-I)",EEC-TH
22633,ELECTRIC SUBSTATION PRACTICES (EE/EP/EU),"EE6E, EE6G, EE6I, EP6I","ESP-TH (EE-6-G, EE-6-I, EP-6-I)",NULL
22650,HYDRAULIC AND PNEUMATIC CONTROLS,AE6I,HPC-TH (AE-6-I),HPC-TH
22653,AUTOMOBILE AIR CONDITIONING,"AE6G, AE6I",AAC-TH (AE-6-I),NULL
22655,INDUSTRIAL HYDRAULICS AND PNEUMATICS,"ME6C, ME6E, ME6G, ME6I","IHP-TH (ME-6-E, ME-6-G, ME-6-I)",NULL
22656,AUTOMOBILE ENGINEERING,ME6I,AEN-TH (ME-6-I),AEN-TH
22657,INDUSTRIAL ENGINEERING AND QUALITY CONTROL,ME6I,IEQ-TH (ME-6-I),IEQ-TH
22661,RENEWABLE ENERGY TECHNOLOGY,ME6I,RET-TH (ME-6-I),RET-TH
311302,BASIC MATHEMATICS,"AA1K, AD1K, AE1I, AE1K, AI1K, AN1I, AN1K, AO1I, AO1K, AT1K, BD1K, CE1G, CE1I, CE1K, CH1I, CH1K, CM1I, CM1K, CO1I, CO1K, CR1I, CR1K, CS1K, CW1I, CW1K, DC1K, DE1K, EE1G, EE1I, EE1K, EJ1I, EJ1K, EK1K, EP1K, ET1K, EX1I, EX1K, FC1K, IC1K, IE1E, IE1K, IF1I, IF1K, IH1K, IS1I, IS1K, IX1K, IZ1K, LE1K, ME1G, ME1I, ME1K, MK1I, MK1K, MRT1K, MU1K, MY1K, PG1I, PG1K, PN1K, PO1I, PO1K, TC1K, TE1I, TE1K, TX1K","BMS-TH (AA-1-I, AA-1-K, AE-1-E, AE-1-G, AE-1-I, AE-1-K, AI-1-K, AL-1-I, AL-1-K, AN-1-I, AN-1-K, AO-1-I, AO-1-K, AT-1-K, BD-1-K, CE-1-G, CE-1-I, CE-1-K, CH-1-I, CH-1-K, CM-1-G, CM-1-I, CM-1-K, CO-1-G, CO-1-I, CO-1-K, CR-1-I, CR-1-K, CS-1-I, CS-1-K, CW-1-I, CW-1-K, DC-1-I, DC-1-K, DE-1-K, DS-1-K, EE-1-E, EE-1-G, EE-1-I, EE-1-K, EJ-1-I, EJ-1-K, EK-1-K, EP-1-I, EP-1-K, ET-1-I, ET-1-K, EX-1-I, EX-1-K, FC-1-I, FC-1-K, HA-1-I, HA-1-K, IC-1-K, IE-1-E, IE-1-I, IE-1-K, IF-1-I, IF-1-K, IH-1-K, IS-1-I, IS-1-K, IX-1-K, IZ-1-K, LE-1-K, ME-1-E, ME-1-I, ME-1-K, MK-1-I, MK-1-K, MU-1-I, MU-1-K, PG-1-I, PG-1-K, PN-1-I, PN-1-K, PO-1-I, PO-1-K, SE-1-K, TC-1-I, TC-1-K, TE-1-I, TE-1-K, TX-1-I, TX-1-K)",NULL
311303,COMMUNICATION SKILLS,"AA1K, AD1K, AE1K, AI1K, AN1K, AO1K, AT1K, BD1K, CE1K, CH1K, CM1K, CO1K, CR1K, CW1K, DC1K, DD1K, DE1K, DS1K, EE1K, EJ1K, EK1K, ET1K, EX1K, FC1K, IC1K, IE1K, IF1K, IH1K, IS1K, IX1K, IZ1K, LE1K, ME1K, MK1K, ML1K, MRT1K, MU1K, MY1K, PG1K, PN1K, PO1K, SC1K, SE1K, TC1K, TE1K, TR1K, TX1K","ENG-TH (AA-1-K, AE-1-K, AI-1-K, AL-1-K, AN-1-K, AO-1-K, AT-1-K, BD-1-K, CE-1-K, CH-1-K, CM-1-K, CO-1-K, CR-1-K, CS-1-K, CW-1-K, DC-1-K, DD-1-K, DE-1-K, DS-1-K, EE-1-K, EJ-1-K, EK-1-K, EP-1-K, ET-1-K, EX-1-K, FC-1-K, IC-1-K, IE-1-K, IF-1-K, IH-1-K, IS-1-K, IX-1-K, IZ-1-K, LE-1-K, ME-1-K, MK-1-K, ML-1-K, MU-1-K, PG-1-K, PN-1-K, PO-1-K, SC-1-K, SE-1-K, TC-1-K, TE-1-K, TR-1-K, TX-1-K)",NULL
