subject_code,subject_name,missing_schemes,possible_abbrs,suggested_abbr
313310,THERMAL ENGINEERING,"ME3K, PG4K, PME3F","TEG-TH (ME-3-K, PME-3-F), TEN-TH (ME-3-I, PG-3-I)",NULL
313311,PRODUCTION DRAWING,"ME3K, MK3K, PG3K, PME3F","PDR-TH (ME-3-K, MK-3-K, PG-3-K, PME-3-F)",PDR-TH
313313,THEORY OF MACHINES,"AE3K, ME4K, MK4K, PG4K, PME5F","TOM-TH (AE-3-K, AE-4-I, ME-4-C, ME-4-E, ME-4-G, ME-4-I)",NULL
313316,METROLOGY AND MEASUREMENT,"ME4K, PG3K, PME4F",NULL,NULL
313318,ANALOG AND DIGITAL ELECTRONICS,MK3K,ADE-TH (MK-3-K),ADE-TH
313319,INDUSTRIAL MEASUREMENTS,MK3K,IME-TH (MK-3-K),IME-TH
313320,ELEMENTS OF ELECTRICAL ENGINEERING,MK3K,"EEC-TH (AN-2-I, AO-2-I, BD-2-I, CM-2-I, CO-2-I, CW-2-I, EJ-2-I, ET-2-I, EX-2-I, HA-2-I, IC-2-I, IE-2-I, IF-2-I, IH-2-I, IS-2-I, TE-2-I), EEE-TH (MK-3-K)",EEE-TH
313321,ADVANCED SURVEYING,"CE3K, CR3K, CS3K, LE3K, PCE3F","ASU-TH (CE-3-I, CE-3-K, CR-3-I, CR-3-K, CS-3-I, CS-3-K, LE-3-I, LE-3-K, PCE-3-F)",ASU-TH
313322,CONCRETE TECHNOLOGY,"CE3K, CR3K, CS3K, LE3K, PCE3F","CTE-TH (CE-3-I, CE-3-K, CR-3-I, CR-3-K, CS-3-I, CS-3-K, LE-3-I, LE-3-K, PCE-3-F)",CTE-TH
313323,HIGHWAY ENGINEERING,"CE3K, CR3K, CS3K, LE3K, PCE3F","HEN-TH (CE-3-I, CE-3-K, CR-3-I, CR-3-K, CS-3-I, CS-3-K, LE-3-I, LE-3-K, PCE-3-F)",HEN-TH
313332,ELECTRICAL CIRCUITS AND NETWORK,"EE3K, EP3K, PEE3F","ECN-TH (EE-3-K, EP-3-K, PEE-3-F)",ECN-TH
313333,"ELECTRICAL POWER GENERATION,TRANSMISSION AND DISTRIBUTION","EE3K, EK3K, EP3K, PEE3F","GTD-TH (EE-3-K, EP-3-K, PEE-3-F)",NULL
313334,ELECTRICAL AND ELECTRONIC MEASUREMENT,"EE3K, EP3K, PEE3F","EEM-TH (EE-3-K, EP-3-K, PEE-3-F)",EEM-TH
313335,FUNDAMENTALS OF POWER ELECTRONICS,"EE3K, EP3K, PEE4F","FPE-TH (EE-3-I, EE-3-K, EP-3-I, EP-3-K, IE-3-I)",NULL
314303,HYDRAULICS,"AL4K, CE4K, CR4K, CS4K, LE4K, PCE5F","HRY-TH (AL-4-I, CE-3-N, CE-4-C, CE-4-E, CE-4-G, CE-4-I, CR-4-I, CS-4-I, LE-4-I), HYD-TH (CE-3-S)",NULL
314312,"RAILWAY, BRIDGE AND TUNNEL ENGINEERING","CE4K, CR4K, CS4K, LE4K, PCE4F",NULL,NULL
314313,"ESTIMATING, COSTING AND VALUATION","CE4K, CR4K, CS4K, LE4K, PCE6F",NULL,NULL
314314,WATER AND WASTEWATER ENGINEERING,"CE4K, CR4K, CS4K, LE4K, PCE5F",NULL,NULL
314315,GEOTECHNICAL ENGINEERING,"CE4K, CR4K, CS4K, LE4K, PCE4F",NULL,NULL
314317,JAVA PROGRAMMING,"AI4K, AN4K, BD4K, CM4K, CO4K, CW4K, DS4K, HA4K, IF4K, IH4K, SE4K, TE4K","JPR-TH (AN-4-I, BD-4-I, CM-4-I, CO-4-I, CW-4-I, HA-4-I, IF-4-I, IH-4-I, TE-4-I)",NULL
314318,DATA COMMUNICATION AND COMPUTER NETWORK,"AI4K, AN4K, BD4K, CM4K, CO4K, CW4K, DS4K, HA4K, IF4K, IH4K, SE4K","DCC-TH (AN-4-I, CM-4-I, CO-4-G, CO-4-I, CW-4-I, HA-4-I, IH-4-I)",NULL
314321,MICROPROCESSOR PROGRAMMING,"AI4K, AN4K, CM4K, CO4K, CW4K, DS4K, HA4K, SE4K",NULL,NULL
314322,D.C. MACHINES AND TRANSFORMERS,"EE4K, EK4K, EP4K, PEE4F",NULL,NULL
314323,UTILIZATION OF ELECTRICAL ENERGY,"EE4K, EP4K, PEE6F","UEE-TH (EE-6-I, EP-6-I)",NULL
314324,DIGITAL ELECTRONICS AND MICROCONTROLLER APPLICATIONS,"EE4K, EG7G, EP4K, PEE5F",NULL,NULL
314325,ELECTRICAL ESTIMATING AND CONTRACTING,"EE4K, EP4K, PEE5F",NULL,NULL
314337,CONTROL SYSTEMS,MK4K,CSS-TH (MK-4-I),NULL
314338,EMBEDDED SYSTEM USING C,MK4K,NULL,NULL
314339,FLUID POWER AND INDUSTRIAL AUTOMATION,"MG7G, MK4K",NULL,NULL
314340,PRODUCTION PROCESSES,"ME4K, PG4K, PME4F","MPR-TH (ME-4-C, ME-4-E, ME-4-G, ME-4-I)",NULL
314341,ADVANCED ENGINE TECHNOLOGIES,AE4K,NULL,NULL
315313,THEORY OF STRUCTURE,"CE5K, CR5K, LE5K","TOS-TH (AA-3-K, AT-3-K, IX-3-K, IZ-3-K)",NULL
315316,ENERGY CONSERVATION & GREEN BUILDING,CE5K,NULL,NULL
315321,ADVANCE COMPUTER NETWORK,"CM5K, CO5K, CW5K, IF5K",NULL,NULL
315323,SOFTWARE ENGINEERING,"CM5K, CO5K, CW5K","SEN-TH (AN-4-I, BD-4-I, CM-4-I, CO-4-I, CW-4-I, HA-4-I, IF-4-I, IH-4-I, TE-4-I)",NULL
315334,SWITCHGEAR AND PROTECTION,"EE5K, EP5K","SAP-TH (EE-5-C, EE-5-E, EE-5-G, EE-5-I, EP-5-I)",NULL
315337,RENEWABLE ENERGY TECHNOLOGY,EE5K,RET-TH (ME-6-I),NULL
315375,TRANSPORT MANAGEMENT AND MOTOR VEHICLE ACT,AE5K,TMM-TH (AE-5-I),NULL
315376,ADVANCES IN AUTOMOTIVE TECHNOLOGIES,AE5K,NULL,NULL
315377,AUTOMOBILE BODY ENGINEERING AND SAFETY,AE5K,NULL,NULL
316307,CONTRACTS AND BILLING,"CE6K, CR6K, CS6K, LE6K",NULL,NULL
316308,DESIGN OF RCC AND STEEL STRUCTURES,"CE6K, CR6K, CS6K, LE6K",NULL,NULL
316309,MAINTENANCE AND REPAIRS OF STRUCTURES,"CE6K, CR6K, CS6K, LE6K, PCE6F","MRS-TH (CE-6-I, CR-6-I, CS-6-I)",NULL
316312,SOLID WASTE MANAGEMENT,"CE6K, CR6K, LE6K","SWM-TH (CE-6-G, CE-6-I, CR-6-I)",NULL
316314,SOFTWARE TESTING,"CM6K, CO6K, CW6K, HA6K, IH6K","STE-TH (CM-5-I, CO-5-I, CW-5-I, IH-5-I, TE-5-I)",NULL
316316,MACHINE LEARNING,"CM6K, CO6K, CW6K, HA6K, IF6K",NULL,NULL
316327,ENERGY CONSERVATION AND AUDIT,"EE6K, EP6K, PEE6F",NULL,NULL
316328,MAINTENANCE OF ELECTRICAL EQUIPMENTS,"EE6K, EP6K",NULL,NULL
316330,INDUSTRIAL DRIVES AND CONTROL,EE6K,NULL,NULL
316346,AUTOMOBILE COMPONENT DESIGN,AE6K,"ACD-TH (AE-5-E, AE-5-G, AE-5-I)",NULL
316347,AUTOMOBILE HYDRAULIC AND PNEUMATIC CONTROL SYSTEMS,AE6K,NULL,NULL
316349,AUTOMOBILE AIR CONDITIONING,AE6K,AAC-TH (AE-6-I),NULL
316357,DESIGN OF MACHINE ELEMENTS,"ME6K, PG6K",NULL,NULL
316362,INDUSTRIAL ENGINEERING AND QUALITY CONTROL,"ME6K, PME6F",IEQ-TH (ME-6-I),NULL
316363,INDUSTRIAL HYDRAULICS AND PNEUMATICS,"ME6K, PME6F",NULL,NULL
316364,ALTERNATIVE ENERGY SOURCES AND ENERGY MANAGEMENT,ME6K,NULL,NULL
